smiles,group,fragment_smiles,attribution,attribution_normalized,pred_mean_mol,pred_mean_sub
FC(=C(OC1=CC=C(C=C1)S(Cl)(=O)=O)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,test,FCCF,1.401929855,0.885768079,4.778434753,3.376504898
FC(=C(OC1=CC=C(C=C1)S(Cl)(=O)=O)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,test,OCC(F)(F)F,1.185290813,0.829112643,4.778434753,3.59314394
FC(=C(OC1=CC=C(C=C1)S(Cl)(=O)=O)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,test,c1ccccc1,0.836540222,0.683972185,4.778434753,3.941894531
FC(=C(OC1=CC=C(C=C1)S(Cl)(=O)=O)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,test,O=S(=O)Cl,0.586557865,0.527415474,4.778434753,4.191876888
FC(=C(OC1=CC=C(C=C1)S(Cl)(=O)=O)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,test,FC(F)F,0.520620823,0.478179023,4.778434753,4.257813931
FC(=C(OC1=CC=C(C=C1)S(Cl)(=O)=O)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,test,FC(F)F,0.520620823,0.478179023,4.778434753,4.257813931
CC(=O)OC(C(CO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(CO)[N+](C)(C)CC([O-])=O,test,CC=O,-1.1580832,-0.820414225,1.986018181,3.144101381
CC(=O)OC(C(CO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(CO)[N+](C)(C)CC([O-])=O,test,O,-0.155158281,-0.153925057,1.986018181,2.141176462
CC(=O)OC(C(CO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(CO)[N+](C)(C)CC([O-])=O,test,CCCO,-0.285198212,-0.277709285,1.986018181,2.271216393
CC(=O)OC(C(CO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(CO)[N+](C)(C)CC([O-])=O,test,C,-0.004583478,-0.004583446,1.986018181,1.990601659
CC(=O)OC(C(CO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(CO)[N+](C)(C)CC([O-])=O,test,CO,0.017491579,0.017489795,1.986018181,1.968526602
CC(=O)OC(C(CO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(CO)[N+](C)(C)CC([O-])=O,test,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-0.080414534,-0.080241647,1.986018181,2.066432714
CC(=O)OC(C(CO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(CO)[N+](C)(C)CC([O-])=O,test,C[N+]C,-0.152789593,-0.151611651,1.986018181,2.138807774
CC(=O)OC(C(CO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(CO)[N+](C)(C)CC([O-])=O,test,CC(=O)[O-],-1.878577232,-0.954365393,1.986018181,3.864595413
FC(F)(F)C(Br)Br,test,FC(F)F,0.112766743,0.112291168,4.295239925,4.182473183
FC(F)(F)C(Br)Br,test,BrCBr,-0.671550751,-0.585999039,4.295239925,4.966790676
C[N+](C)(CCCN(CCC(O)=O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CCC(O)=O,test,C[N+]C,-0.157973051,-0.156671939,3.521642685,3.679615736
C[N+](C)(CCCN(CCC(O)=O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CCC(O)=O,test,CCC,-0.424084187,-0.400365552,3.521642685,3.945726871
C[N+](C)(CCCN(CCC(O)=O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CCC(O)=O,test,N,-0.040561199,-0.04053897,3.521642685,3.562203884
C[N+](C)(CCCN(CCC(O)=O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CCC(O)=O,test,CCC(=O)O,-1.181432247,-0.827902698,3.521642685,4.703074932
C[N+](C)(CCCN(CCC(O)=O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CCC(O)=O,test,O=S=O,-0.285833359,-0.278295345,3.521642685,3.807476044
C[N+](C)(CCCN(CCC(O)=O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CCC(O)=O,test,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-0.246015787,-0.241169805,3.521642685,3.767658472
