smiles,group,fragment_smiles,attribution,attribution_normalized,pred_mean_mol,pred_mean_sub
FC(=C(OC1=CC=C(C=C1)S(Cl)(=O)=O)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,test,FCCF,-0.037579536,-0.037561856,10.5427351,10.58031464
FC(=C(OC1=CC=C(C=C1)S(Cl)(=O)=O)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,test,OCC(F)(F)F,-0.061306,-0.06122931,10.5427351,10.6040411
FC(=C(OC1=CC=C(C=C1)S(Cl)(=O)=O)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,test,c1ccccc1,-1.426270485,-0.89089976,10.5427351,11.96900558
FC(=C(OC1=CC=C(C=C1)S(Cl)(=O)=O)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,test,O=S(=O)Cl,0.005965233,0.005965162,10.5427351,10.53676987
FC(=C(OC1=CC=C(C=C1)S(Cl)(=O)=O)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,test,FC(F)F,0.088921547,0.088687917,10.5427351,10.45381355
FC(=C(OC1=CC=C(C=C1)S(Cl)(=O)=O)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,test,FC(F)F,0.088921547,0.088687917,10.5427351,10.45381355
CC(=O)OC(C(CO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(CO)[N+](C)(C)CC([O-])=O,test,CC=O,-0.017716408,-0.017714554,8.977747917,8.995464325
CC(=O)OC(C(CO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(CO)[N+](C)(C)CC([O-])=O,test,O,-0.002218246,-0.002218243,8.977747917,8.979966164
CC(=O)OC(C(CO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(CO)[N+](C)(C)CC([O-])=O,test,CCCO,-0.199501991,-0.196896665,8.977747917,9.177249908
CC(=O)OC(C(CO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(CO)[N+](C)(C)CC([O-])=O,test,C,-0.013237953,-0.01323718,8.977747917,8.99098587
CC(=O)OC(C(CO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(CO)[N+](C)(C)CC([O-])=O,test,CO,-0.054548264,-0.054494225,8.977747917,9.032296181
CC(=O)OC(C(CO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(CO)[N+](C)(C)CC([O-])=O,test,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-0.16711998,-0.165581331,8.977747917,9.144867897
CC(=O)OC(C(CO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(CO)[N+](C)(C)CC([O-])=O,test,C[N+]C,0.158878326,0.157554868,8.977747917,8.818869591
